,2001,2003,2005,2007,2009,2011,2013,2017,2019
YRFV,26900.0,16300.0,18200.0,16000.0,19700.0,16300.0,13600.0,11900.0,10600.0
YRPA,,,10300.0,13100.0,15500.0,14100.0,14900.0,11400.0,10000.0
YRBD,,,,,,,,5900.0,5000.0
